mysql> select story_url,completed from dwg_stories ORDER by 1;
+----------------------------------------------------+-----------+
| story_url                                          | completed |
| /ani/stories/mortie3.htm                           |         0 |
| /ani/stories/mortie4.htm                           |         1 |
| /ani/stories/natasha1.htm                          |         0 |
| /ani/stories/natasha2.htm                          |         1 |
| /ani/stories/natasha3.htm                          |         0 |
| /ani/stories/natb1.htm                             |         0 |
| /ani/stories/nikkik1.htm                           |         1 |
| /ani/stories/nikkik2.htm                           |         1 |
| /ani/stories/nikkik3.htm                           |      NULL |
| /ani/stories/nikkik4.htm                           |         1 |
| /ani/stories/nikkim1.htm                           |      NULL |
| /ani/stories/nisha1.htm                            |         1 |
| /ani/stories/nns11.htm                             |         1 |
| /ani/stories/orlando1.htm                          |         1 |
| /ani/stories/orlando2.htm                          |         1 |
| /ani/stories/outlanders.htm                        |         0 |
| /ani/stories/penep1.htm                            |         1 |
| /ani/stories/pond.htm                              |         0 |
| /ani/stories/rachel1.htm                           |         1 |
| /ani/stories/rachele1.htm                          |         0 |
| /ani/stories/radhika1.htm                          |         0 |
| /ani/stories/reneeb1.htm                           |         1 |
| /ani/stories/reneeb2.htm                           |         1 |
| /ani/stories/ritah1.htm                            |         1 |
| /ani/stories/ritah2.htm                            |         1 |
| /ani/stories/rose1.htm                             |         0 |
| /ani/stories/roseh2.htm                            |         1 |
| /ani/stories/rosie.htm                             |         1 |
| /ani/stories/roxanne1.htm                          |         0 |
| /ani/stories/sabine1.htm                           |         0 |
| /ani/stories/sabine2.htm                           |         1 |
| /ani/stories/sabine3.htm                           |         1 |
| /ani/stories/sanna1.htm                            |      NULL |
| /ani/stories/separation.htm                        |         0 |
| /ani/stories/shannonk1.htm                         |         1 |
| /ani/stories/shannonk2.htm                         |         1 |
| /ani/stories/shannonk3.htm                         |         1 |
| /ani/stories/shannonk4.htm                         |         1 |
| /ani/stories/shannonk5.htm                         |         1 |
| /ani/stories/shannonk6.htm                         |         1 |
| /ani/stories/shannonk7.htm                         |         1 |
| /ani/stories/shannonk9.htm                         |         1 |
| /ani/stories/shem1.htm                             |         0 |
| /ani/stories/sietske1.htm                          |         1 |
| /ani/stories/simone.htm                            |         0 |
| /ani/stories/skywalk1.htm                          |         0 |
| /ani/stories/sofie1.htm                            |         0 |
| /ani/stories/sofie10.htm                           |         0 |
| /ani/stories/sofie11.htm                           |         1 |
| /ani/stories/sofie12.htm                           |         1 |
| /ani/stories/sofie13b.htm                          |         1 |
| /ani/stories/sofie14.htm                           |      NULL |
| /ani/stories/sofie2.htm                            |         1 |
| /ani/stories/sofie3.htm                            |         0 |
| /ani/stories/sofie4.htm                            |         1 |
| /ani/stories/sofie5.htm                            |         1 |
| /ani/stories/sofie6.htm                            |         1 |
| /ani/stories/sofie7.htm                            |         1 |
| /ani/stories/sofie8.htm                            |         1 |
| /ani/stories/sofie9.htm                            |         1 |
| /ani/stories/stephie.htm                           |      NULL |
| /ani/stories/susan1.htm                            |         0 |
| /ani/stories/suzanna1.htm                          |         0 |
| /ani/stories/suzo1.htm                             |         1 |
| /ani/stories/suzo2b.htm                            |      NULL |
| /ani/stories/suzo3.htm                             |         1 |
| /ani/stories/tamara1.htm                           |         0 |
| /ani/stories/tamara2.htm                           |         0 |
| /ani/stories/tamsin1.htm                           |         0 |
| /ani/stories/teanna1.htm                           |         0 |
| /ani/stories/travel1.htm                           |         1 |
| /ani/stories/trinity1.htm                          |         1 |
| /ani/stories/trinity2.htm                          |         1 |
| /ani/stories/ulrike1.htm                           |         0 |
| /ani/stories/ulrike10.htm                          |         1 |
| /ani/stories/ulrike11.htm                          |         1 |
| /ani/stories/ulrike12.htm                          |         0 |
| /ani/stories/ulrike13.htm                          |         0 |
| /ani/stories/ulrike14d.htm                         |      NULL |
| /ani/stories/ulrike15.htm                          |         1 |
| /ani/stories/ulrike16.htm                          |         1 |
| /ani/stories/ulrike17d.htm                         |         1 |
| /ani/stories/ulrike18d.htm                         |         1 |
| /ani/stories/ulrike19.htm                          |         1 |
| /ani/stories/ulrike2.htm                           |         1 |
| /ani/stories/ulrike20b.htm                         |      NULL |
| /ani/stories/ulrike21c.htm                         |      NULL |
| /ani/stories/ulrike3.htm                           |         1 |
| /ani/stories/ulrike4.htm                           |         1 |
| /ani/stories/ulrike5.htm                           |         1 |
| /ani/stories/ulrike6.htm                           |         1 |
| /ani/stories/ulrike7.htm                           |         1 |
| /ani/stories/ulrike8.htm                           |         0 |
| /ani/stories/ulrike9.htm                           |         0 |
| /ani/stories/vaness1.htm                           |         0 |
| /ani/stories/viclynn1.htm                          |         0 |
| /ani/stories/wallflower.htm                        |         0 |
| /ani/stories/wilderness1.htm                       |         1 |
| /ani/stories/william.htm                           |         0 |
| /ani/stories/winters1.htm                          |         0 |
| /ani/stories/zack1.htm                             |         1 |
| /ani/stories/zeb1.htm                              |         0 |
| /derby/2019/AliciaMCinInBath20160905.html          |         1 |
| /derby/2019/AmyANwLoveAcrosstheAg20171214.html     |         1 |
| /derby/2019/AshleyFWhyDidYouHaveTo20181220.html    |         0 |
| /derby/2019/AuthorseguSURVIVORSanovel20181019.html |         0 |
| /derby/2019/AutumnDTheCurse20170225.html           |         0 |
| /derby/2019/BernadetteBeautifulCelebr20160904.html |         1 |
| /derby/2019/BernadetteBeautifulMoment20160126.html |         1 |
| /derby/2019/BethwASlightSprain20190425.html        |         1 |
| /derby/2019/BethwCallingItQuits20190513.html       |         1 |
| /derby/2019/BethwFirstWordsASoul20180328.html      |         1 |
| /derby/2019/BloodyMariDoubleDoubleToi20171031.html |         1 |
| /derby/2019/BloodyMariDrThorpesClinic20161031.html |         1 |
| /derby/2019/CeciliaAHumbleNewYears20190102.html    |         1 |
| /derby/2019/CeciliaASensibleNewYea20180101.html    |         1 |
| /derby/2019/CeciliaSomethingtobeTh20171123.html    |         1 |
| /derby/2019/CeciliaTheSixtySecondA20180331.html    |         1 |
| /derby/2019/CpaulineFashion20170811.html           |         1 |
| /derby/2019/CpaulineInService20170804.html         |         1 |
| /derby/2019/CpaulineLovingaManinReg20190602.html   |         1 |
| /derby/2019/CpaulineMath20181119.html              |         1 |
| /derby/2019/CpaulinePlayBall20180811.html          |         1 |
| /derby/2019/CpaulineSophiasPersuasi20160112.html   |         1 |
| /derby/2019/CpaulineSpies20170709.html             |         1 |
| /derby/2019/CpaulineTeaParties20170404.html        |         1 |
| /derby/2019/CpaulineTrashCanFan20170815.html       |         1 |
| /derby/2019/DraculliTheLongWayHomeJ20161031.html   |         1 |
| /derby/2019/DraculliThePhantomofLon20171031.html   |         1 |
| /derby/2019/EmelynTheWorstDayofHe20180905.html     |         1 |
| /derby/2019/FrankaysteBlessedMemoryJA20161031.html |         1 |
| /derby/2019/GingerDarcysHopeatDon20161103.html     |         1 |
| /derby/2019/HcingramTheSecretLifeof20170725.html   |         0 |
| /derby/2019/HleighMarigoldInterve20180812.html     |         1 |
| /derby/2019/HleighUntilIHearItFro20180819.html     |         1 |
| /derby/2019/HorridlyLuHowsoonsheforge20161031.html |         1 |
| /derby/2019/JackCBackstageatPrid20170220.html      |         1 |
| /derby/2019/JackCDeathLifeAVigne20170927.html      |         1 |
| /derby/2019/JackCMakingHerSentim20171229.html      |         1 |
| /derby/2019/JackCNightsinWhiteLi20180625.html      |         1 |
| /derby/2019/JackCPerfectLizzyMee20160327.html      |         1 |
| /derby/2019/JackCTalesofHMSLacon20171015.html      |         1 |
| /derby/2019/JancatTheBetterAngels20160603.html     |         1 |
| /derby/2019/JanetrAWorldofTrouble20160807.html     |         1 |
| /derby/2019/JimDPersuadedtoRoma20160809.html       |         1 |
| /derby/2019/Joe78751ElizabethBennet20171110.html   |         0 |
